study_id,authors,year,title,participants,measures,key_behavioural_findings,pwp_v_hc,pwp_v_icb,pwp_between_groups_other,pwp_within_groups,barratt_imp_scale,stroop,go_nogo,Trail Making Test,stop_signal,Delay Discounting,Simon,iowa_gambling,BART,Temperament and Character Inventory,Eriksen Flanker,Conditional Stop Signal task,Behavioural Inhibition Systems/Behavioural Approach Systems,Game of Dice,Cambridge Gambling Task,Snaith-Hamilton Pleasure Scale,Economics Task,Framing Paradigm,Deal or No Deal (ambiguous decision making),Manual Congruency Task,UPPS,Probability-Associated Gambling task (decision making under risk),Associative learning (learning through reward and punishment - DMuAmbiguity?),Vancouver Gambling Task,Monetary Decision Making,Zuckerman-Kuhlman Personality Questionnaire,Color Trails Test (TMT),Task switching,Rewarded Switching Task,Odd Man Out,Hayling Test,Stimulus-response associations,Beads task,Picture-Word Interference Task (lexical-semantic inhibition),Gambling Task,Oddball paradigm,"Countermanding task (""reaching"" SST)",Pro-/anti-saccades,Saccadic Visually guided/memory guided/etc,Saccadic Smooth pursuit,Saccadic GNG,Saccadic Simon,Saccadic other,Inhibition of Return,Covert orienting task (inhibition of return),Category Fluency,Verbal fluency,Semantic Priming,Random Number Generation,Selective Attention Task,Attention Network Test,Moving Dots Task,Cue-target detection task,Conner's Performance Test,Continuous Performance Test,Probabilistic Classification Task (reward and punishment learning),Probabilistic Selection Task,Reversal learning/reward and punishment,Intra-Extra Dimensional Set Shifting,Holt-Laury task,Excluded Letter Fluency Test,2-back task,Rewarded Reaction Time,Incentive Value Task,Verb/noun production task,Dimensional Integration Task,Orienting of Attention,Salience Attribution Test,Cued activation/inhibition task,Anagram task,Calculation task,Binary Choice Task,Valuation Rating Task,Choice Titration Task,Virtual Reality Motor Inhibition Task,Temporal bisection task,Temporal Trisection task,Crossed response inhibition task,Simple RT task,Investment Task,Masked Priming task,Negative Priming,Identity Priming Task,Location Priming Task,Ignored Repetition Task,Repetition Priming,Choice Reaction Task (Paper-rock-scissors),Virtual Multiple Errand Test,Anti-cue keypress task,Temporal Interval Task,Working memory task,Wisconsin Card Sorting Task,Marble Task,Interference task,Stop-Change Paradigm,Lexical ambiguity,Tridimensional Personality Questionnaire,Visuomotor tracking task,Reversal learning
142,Milenkova et al. (2011) ,2011,Intertemporal Choice in Parkinson's Disease,"(a) 17 PwP (25 male), 60.6 (7.6). UPDRS ON medication 18.4 (7.4), UPDRS OFF medication 28.0 (8.1), H&Y ON medication 2.15 (0.39), H&Y OFF medication 2.6 (0.4), duration 4.4 years (3.4). (b) 17 HC (10 male), 59.8 (7.0).",Intertemporal Choice task (delay discounting). Also: Medication ON/OFF.,"PwP patients presented similar delay discounting rates both ON and OFF medication. PwP patients had higher discounting rates (were more impulsive) than HCs when medication was ON. Delay discounting rates in PwP were not correlated with medication dosage, symptom severity scores, or disease duration.",yes,no,no,yes,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Mirabella et al. (2012) ,2012,Deep Brain Stimulation of Subthalamic Nuclei Affects Arm Response Inhibition In Parkinson's Patients,"(a) 10 PwP (8 male), 60.1 (1.8). UPDRS 19.3 (2.9), H&Y 1.4 (0.2), duration since diagnosis 17.5 (1.6). (b) 13 HC (10 male), 60.7 (1.3).","Countermanding reaching task/Stop Signal task (response inhibition). Also: STN-DBS ON/OFF, medication ON/OFF.","NB: same task and participants as in Mirabella et al (2013) but with 2 fewer patients. Reduced inhibitory control (longer SSRT) when STN-DBS was OFF, and significantly better inhibitory control (shorter SSRT) when both left and right STN-DBS was ON. PwP showed reduced inhibitory control compared to HCs when STN-DBS was OFF, but performed just as well as HCs when STN-DBS was ON.",yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Mirabella et al. (2013),2013,Stimulation of Subthalamic Nuclei Restores a Near Normal Planning Strategy in Parkinson's Patients,"(a) 12 PwP (10 male), 60.2 (1.6). UPDRS ON 19 (2.4), UPDRS OFF 31.8 (2.9), H&Y ON 1.7 (0.2). (b) 13 HC (10 male), 60.7 (1.3).","Countermanding Task/Stop Signal Task (proactive control). Also: STN-DBS ON/OFF, medication ON/OFF.","NB: same task and participants as in Mirabella et al (2012) but with 2 extra patients. HCs and DBS ON all showed longer RTs and shorter MTs in no-stop vs go-only. DBS OFF both RT and MT longer in no-stop than go-only. In PwP group, MTs of go-only trials didn’t differ between OFF and ON but MTs of no-stop trials were faster for ON vs OFF. HCs had longer MTs in go-only trials than no-stop trials, but DBS OFF had the opposite (MTs in no-stop trials longer than in go-only trials). Accuracy of responding similar between groups and within DBS conditions (even though faster MTs usually result in a loss of accuracy). DBS improves planning strategies (proactive control).",yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Mirabella et al (2017),2017,Inhibitory control is not lateralized in Parkinson's patients,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Nombela et al. (2011),2011,Cognitive rehabilitation in Parkinson's disease: evidence from neuroimaging,"(a) 10 PwP (4 male), 60.5 (3.45). UPDRS 22.2 (7.87), H&Y 2.5 (0.5). (b) 10 HC (4 male), 59.6 (4.47).",Stroop (attention). Also: fMRI.,"PwP patients were slower to respond but no differences in errors (no interference effect calculated). HCs showed more brain activation than PwPs whilst doing the Stroop task in: left precentral gyrus, left medial frontal gyrus, right precuneus, left inferior parietal gyrus.",yes,no,no,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Nombela et al. (2014) ,2014,Multiple Modes of Impulsivity in Parkinson's Disease,"(a) 30 PwP (14 male), 66.4 (10.5). UPDRS 23.3 (11.1), H&Y 2.2 (0.6). (b) 30 HC (14 male), 62.4 (7.5).","Kirby Temporal Discounting task (delay discounting), Barratt Impulsiveness Scale (impulsivity), Behavioural Inhibitory System/Behavioural Approach System (appetite motivation/aversive motivation), Motor Go/No-Go task (action restraint), Temporal Interval Estimation (impulsivity), Frontal Assessment Battery with Go/No-Go (motor inhibitory control), Stop Signal Task (action cancellation), Cambridge Gambling Task (risk-taking), Hayling Sentence Completion (sentence completion), Stroop test (conflict resolution), Saccade Go/No-Go (saccadic inhibition).","PwP were significantly more impulsive, or showed reduced inhibitory control, compared to HC on all tasks except the temporal discounting and gambling tasks.",yes,no,no,no,1,1,1,,1,1,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
148,O’Callaghan et al. (2013) ,2013,A novel bedside task to tap inhibitory dysfunction and fronto-striatal atrophy in Parkinson's disease,"(a) 50 PwP (34 male), 63.8 (7.7).H&Y 2.1 (0.46), duration 5.8 years (4.4). (b) 27 HC (16 male), 65.6 (6.7).","Excluded Letter Fluency test, Hayling test.","PwP patients performed worse than HCs in terms of rule violations in ELF, and inhibition errors on the Hayling test (but no diff on scaled score). Rule violations on the ELF in PwP were related to grey matter atrophy in medial orbitofrontal cortex, left inferior frontal gyrus, and right nucleus accumbens.",yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"Obeso, Wilkinson, Casabona et al. (2011) ",2011,Deficits in inhibitory control and conflict resolution on cognitive and motor tasks in Parkinson's disease,"(a) 18 PwP (12 male), 55.72 (6.7). UPDRS OFF 42 (12.4), duration 9.39 years (2.9). (b) 29 HC (16 male), 57.03 (7.9).","Conditional Stop Signal task (response inhibition/response conflict), Stroop (response inhibition), Random number generation (inhibition of competing responses), Hayling sentence completion (response suppression/inhibition).","PwP patients had longer SSRT than HCs. Conflict induced slowing (Go-RT noncrit Stop trials – Go-RT noncrit Go trials) effect was greater in PwP than HC. PwP performed worse in the Hayling test than HC for both B-A and scaled score. PwP performed worse on Stroop task than HC (higher RT interference effect, more uncorrected errors on interference trials). PwP worse than HC on random number generation.",yes,no,no,no,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"Obeso, Wilkinson and Jahanshahi (2011) ",2011,Levodopa medication does not influence motor inhibition or conflict resolution in a conditional stop-signal task in Parkinson's disease,"(a) 17 PwP (12 male), 69.41 (6.3). UPDRS 16.25 (8.4), H&Y 2.12 (0.7), duration 9.50 years (6.5). (b) 16 HC (7 male), 65.69 (4.4).",Conditional Stop Signal task (motor inhibition & conflict resolution). Also: Medication ON/OFF.,"SSRT similar when ON vs OFF medication, but PwP worse than HC both ON and OFF meds. No differences in conflict induced slowing between PwP and HC, whether ON or OFF meds.",yes,no,no,yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Obeso et al. (2013) ,2013,Bilateral stimulation of the subthalamic nucleus has differential effects on reactive and proactive inhibition and conflict-induced slowing in Parkinson's disease,"(a) 15 PwP (13 male), 58.93 (6.5). UPDRS ON STN-DBS 14.69 (6.8), UPDRS OFF STN-DBS 25.46 (6.4), duration 13.47 years (4.2). (b) 29 HC (15 male), 56.97 (6.9).",Conditional Stop Signal task (response inhibition & conflict resolution). Also: STN-DBS ON/OFF.,"SSRT worse when ON vs OFF STN-DBS. PwP had longer SSRT than HC only when STN-DBS was ON rather than OFF. No differences in conflict induced slowing between PwP and HC, nor between STN-DBS ON and OFF. Response delay effect  worse for PwP then HC only when STN-DBS was OFF. No differences between OFF and ON in PwP.",yes,no,no,yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Obeso et al. (2014) ,2014,The subthalamic nucleus and inhibitory control: Impact of subthalamotomy in Parkinson's disease,"(a) 10 right subthalamotomy PwP, 52.70 (8.4). UPDRS OFF post-surgery 22.82 (7.1), duration 11.7 years (3.6). (b) 12 left subthalamotomy PwP, 51.58. UPDRS OFF post-surgery 25 (5.5), duration 9.78 (4.6). (c) 14 unoperated PwP, 58.74 (5.1). UPDRS OFF 39.92 (9.9), duration 7.53 years (3.7). (d) 23 HC, 55 (6.1).",Conditional Stop Signal task (response inhibition & conflict resolution).,"All patients groups showed reduced inhibitory control (longer SSRT) compared to HCs, and left subthalamotomy patients showed better inhibitory control compared to noperated PwP patients. Unoperated PwP patients showed greater conflict induced slowing compared to HCs and left subthalamotomy patients, but the right and left subthalamotomy patients showed similar conflict resolution to HCs. Right subthalamtomy patients showed worse response delay effect than HCs, but no other group differences.",yes,no,yes,no,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Obeso et al. (2017),2017,"Unilateral subthalamotomy in Parkinson's disease: Cognitive, psychiatric and neuroimaging changes",,,,no,no,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Ouerfelli-Ethier et al (2018),2018,Anti-saccades predict cognitive functions in older adults and patients with Parkinson's disease,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Pagonabarraga et al. (2007),2007,Controlled study of decision-making and cognitive impairment in Parkinson's disease,,,,yes,no,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Pan et al (2018),2018,Deep Brain Stimulation of the Internal Globus Pallidus Improves Response Initiation and Proactive Inhibition in Patients With Parkinson's Disease,,,,yes,no,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Pettorruso et al. (2014) ,2016,Punding in non-demented Parkinson's disease patients: Relationship with psychiatric and addiction spectrum comorbidity,,,,no,yes,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Pettorruso et al. (2016),2014,Anhedonia in Parkinson's disease patients with and without pathological gambling: A case-control study,,,,no,yes,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Picazio et al. (2018),2018,Dysfunctional inhibitory control in Parkinson’s disease patients with levodopa-induced dyskinesias,,,,yes,no,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Pineau et al. (2016),2016,Executive functioning and risk-taking behavior in Parkinson's disease patients with impulse control disorders,,,,yes,yes,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Plessow et al. (2014) ,2014,Subthalamic deep brain stimulation restores automatic response activation and increases susceptibility to impulsive behavior in patients with Parkinson's disease,,,,yes,no,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Poletti et al. (2010),2010,Decision Making in De Novo Parkinson's Disease,,,,yes,no,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Poletti et al. (2011),2011,Alexithymia may modulate decision making in patients with de novo Parkinson's disease,,,,no,no,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Poliakoff et al. (2003),2003,Orienting of attention and Parkinson's disease: Tactile inhibition of return and response inhibition,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Pollux & Robinson (2002) ,2002,Reduced task-set inertia in Parkinson's disease,,,,yes,no,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Possin et al. (2009),2009,Space-based but not object-based inhibition of return is impaired in Parkinson's disease,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Pote et al. (2016),2016,Subthalamic nucleus deep brain stimulation induces impulsive action when patients with Parkinson's disease act under speed pressure,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Praamstra & Plat (2001) ,2001,Failed suppression of direct visuomotor activation in Parkinson's disease,,,,yes,no,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Price (2010) ,2010,Contextual cues remediate problem solving: Deficits in Parkinson's disease,,,,yes,no,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Rajan et al. (2018),2018,Dopamine Receptor D3 rs6280 is Associated with Aberrant Decision-Making in Parkinson's Disease,,,,no,no,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Ranchet et al. (2013) ,2013,Impact of Specific Executive Functions on Driving Performance in People With Parkinson's Disease,,,,yes,no,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Rao et al. (2010),2010,Decreased Ventral Striatal Activity with Impulse Control Disorders in Parkinson's Disease,,,,no,yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Ray et al. (2009) ,2009,The role of the subthalamic nucleus in response inhibition: Evidence from deep brain stimulation for Parkinson's disease,,,,yes,no,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Ray et al. (2012) ,2012,Extrastriatal dopaminergic abnormalities of DA homeostasis in Parkinson's patients with medication-induced pathological gambling: A [11C] FLB-457 and PET study,,,,no,yes,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Ricciardi et al. (2017),2017,Acting without being in control: Exploring volition in Parkinson's disease with impulsive compulsive behaviours,,,,yes,yes,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
176,Richards et al. (1993) ,1993,Executive function in Parkinson's disease: Set-shifting or set-maintenance?,,,,yes,no,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Rivaud-Pechoux et al. (2007) ,2007,Mixing pro- and anti-saccades in patients with Parkinsonian syndromes,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Rogers et al. (1998),1998,Dissociating executive mechanisms of task control following frontal lobe damage and Parkinson's disease,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Rogers et al. (2011),2011,Deep brain stimulation of the subthalamic nucleus transiently enhances loss-chasing behaviour in patients with Parkinson's Disease,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Rosa et al. (2013),2013,Pathological Gambling in Parkinson's Disease: Subthalamic Oscillations During Economics Decisions,,,,no,yes,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Rossi et al. (2010),2010,Decision-making in Parkinson's disease patients with and without pathological gambling,,,,no,yes,,,,1,1,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
182,Ruitenberg et al. (2018),2018,Impulsivity in Parkinson's disease is associated with alterations in affective and sensorimotor striatal networks,,,,no,yes,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Sáez-Francàs et al. (2014) ,2014,Relationship between poor decision-making process and fatigue perception in Parkinson's disease patients,,,,no,no,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Santangelo et al. (2018),2018,Cognitive correlates of “pure apathy” in Parkinson's disease,,,,no,no,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Sauvaget et al. (2017),2017,A Comparison of Treatment-Seeking Behavioral Addiction Patients with and without Parkinson's Disease,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Seinstra et al. (2016) ,2016,No Effect of Subthalamic Deep Brain Stimulation on Intertemporal Decision-Making in Parkinson Patients,,,,no,no,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Seiss & Praamstra (2004),2004,The basal ganglia and inhibitory mechanisms in response selection: Evidence from subliminal priming of motor responses in Parkinson's disease,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
188,Seiss & Praamstra (2006) ,2006,Time-course of masked response priming and inhibition in Parkinson's disease,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
189,Seymour et al. (2016) ,2016,Deep brain stimulation of the subthalamic nucleus modulates sensitivity to decision outcome value in Parkinson's disease,,,,no,no,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Sharp et al. (2013),2013,Decisions under risk in Parkinson's disease: Preserved evaluation of probability and magnitude,,,,yes,no,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Siegert et al. (2014) ,2014,Error signals in the subthalamic nucleus are related to post-error slowing in patients with Parkinson's disease,,,,no,no,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Simioni et al. (2012) ,2012,Dissecting the Effects of Disease and Treatment on Impulsivity in Parkinson's Disease,,,,yes,no,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Smulders et al. (2014) ,2014,Trait Impulsivity Is Associated with the Risk of Falls in Parkinson's Disease,,,,no,no,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Stefanova et al. (2014) ,2014,Attentional set-shifting in Parkinson's disease patients with freezing of gait-acquisition and discrimination set learning deficits at the background?,,,,yes,no,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Swann et al. (2011) ,2011,Deep Brain Stimulation of the Subthalamic Nucleus Alters the Cortical Profile of Response Inhibition in the Beta Frequency Band: A Scalp EEG Study in Parkinson's Disease,,,,yes,no,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Szamosi et al. (2013),2013,Delay Discounting of Reward and Caudate Nucleus Volume in Individuals with alpha-Synuclein Gene Duplication before and after the Development of Parkinson's Disease,,,,yes,no,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Terao et al. (2011) ,2011,Initiation and inhibitory control of saccades with the progression of Parkinson's disease-Changes in three major drives converging on the superior colliculus,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Terenzi et al. (2018),2018,Reward sensitivity in Parkinson's patients with binge eating,,,,yes,yes,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Tessitore et al. (2017),2017,Resting-state brain networks in patients with Parkinson's disease and impulse control disorders,,,,yes,yes,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Thota et al. (2017),2017,Impaired frontal lobe functions in patients with Parkinson's disease and psychosis,,,,no,no,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
